"latitude","species_comparison","z_score","p_value","battus_estimate","astyanax_estimate","emergence_delay"
"30","battus_astyanax","2.66994293697358","0.00758641385584418",71,81,10
"31","battus_astyanax","4.48236878025671","0.00000738190337526227",74,86.5,12.5
"32","battus_astyanax","1.70395572980319","0.0883893581961949",85.1,92.25,7.15000000000001
"33","battus_astyanax","5.01904569336952","0.000000519287981938221",90,100,10
"34","battus_astyanax","6.50370077053266","0.0000000000783677083455202",88,109,21
"35","battus_astyanax","8.26868123839723","0.000000000000000135448879430807",102.85,117,14.15
"36","battus_astyanax","9.18301719905004","0.0000000000000000000419178362694445",107,122,15
"37","battus_astyanax","7.83364096310653","0.00000000000000473940932565679",103.2,127,23.8
"38","battus_astyanax","11.5494107593803","0.000000000000000000000000000000743282768053418",109,134,25
"39","battus_astyanax","6.74437906602983","0.0000000000153682831317383",124.2,138.9,14.7
"40","battus_astyanax","6.43922142692712","0.000000000120087901529378",122,142,20
