"species","latitude","sample_size","onset_estimate","onset_low_ci","onset_high_ci","offset_estimate","offset_low_ci","offset_high_ci"
"archippus","19","2","NA","NA","NA","NA","NA","NA"
"archippus","20","1","NA","NA","NA","NA","NA","NA"
"archippus","25","87","11.5","6","21.9","356.5","331","361"
"archippus","26","196","33","15","53.5","341","334","347"
"archippus","27","173","39.6","18","69","340.4","328","355"
"archippus","28","339","79","68","92.9","309","301","327"
"archippus","29","372","87.75","78.55","98","296","290","304.9"
"archippus","30","637","89.8","86","95","312.2","305.2","318"
"archippus","31","315","107.7","100","114","307","295.6","309.6"
"archippus","32","237","112.8","106","120.4","296.8","289","305"
"archippus","33","551","107","103","112","295.5","291.5","301"
"archippus","34","266","114.25","110.5","127","288.75","283.5","292.75"
"archippus","35","321","116","112","123","285","280","291"
"archippus","36","473","120","117.6","124","289","285","294"
"archippus","37","252","126.55","121","135.55","286","280","292.05"
"archippus","38","256","139","126","145","284","281","289"
"archippus","39","568","137.35","133.35","141.35","284","280","287"
"archippus","40","447","144","141","149.3","276.7","273","282.4"
"archippus","41","482","153.05","150.05","156.05","275","270.95","280.9"
"archippus","42","578","153","149.85","156","273.15","271","277.15"
"archippus","43","570","153.45","150.45","156.45","273","269.55","277"
"archippus","44","546","157","155","160","269","265","272.75"
"archippus","45","486","155.25","153.25","158.25","265","261","269.75"
"archippus","46","345","157","153.4","160","259.8","254","265"
"archippus","47","128","159.7","157.7","164.7","249.3","239.3","258"
"archippus","48","60","169.9","153.95","174.95","255.1","237.6","267.15"
"archippus","49","32","155.1","154","163","230.35","221.45","242"
"archippus","50","68","156.7","154","162.35","254.65","242.65","263"
"archippus","51","8","NA","NA","NA","NA","NA","NA"
"archippus","52","1","NA","NA","NA","NA","NA","NA"
"archippus","54","1","NA","NA","NA","NA","NA","NA"
"astyanax","25","1","NA","NA","NA","NA","NA","NA"
"astyanax","26","1","NA","NA","NA","NA","NA","NA"
"astyanax","28","17","NA","NA","NA","NA","NA","NA"
"astyanax","29","72","108","70","115.1","255.8","238.85","296"
"astyanax","30","329","80","73","87.4","279.4","270.2","289"
"astyanax","31","304","87","84","93.3","279.4","268","287"
"astyanax","32","270","90.45","86","96.35","278.55","271.55","286"
"astyanax","33","538","100.85","98","104.85","288","281.15","292"
"astyanax","34","639","104","100","108.9","291","283.1","296"
"astyanax","35","711","113","109","116.5","286","281","292"
"astyanax","36","810","116","113","119","291.55","287","296.55"
"astyanax","37","526","122","118","128","284","278","289.5"
"astyanax","38","587","128","125.3","133.3","278.7","272.7","285.8"
"astyanax","39","733","129","125.6","133","284","280","291"
"astyanax","40","638","137.85","135","141","276.15","272.15","282"
"astyanax","41","533","148","145.6","151","264.4","260.4","272"
"astyanax","42","504","150","148","153","259","255.85","265.7"
"astyanax","43","463","155.1","152","158","249.8","244","252.9"
"astyanax","44","286","159","157","162","240.75","234","245.5"
"astyanax","45","172","155.55","154","157.55","232.45","228","245"
"astyanax","46","15","NA","NA","NA","NA","NA","NA"
"astyanax","47","4","NA","NA","NA","NA","NA","NA"
"astyanax","49","1","NA","NA","NA","NA","NA","NA"
"battus","16","5","NA","NA","NA","NA","NA","NA"
"battus","17","8","NA","NA","NA","NA","NA","NA"
"battus","18","12","NA","NA","NA","NA","NA","NA"
"battus","19","17","NA","NA","NA","NA","NA","NA"
"battus","20","20","NA","NA","NA","NA","NA","NA"
"battus","21","35","26.7","3","48.2","318.8","262.7","352"
"battus","22","6","NA","NA","NA","NA","NA","NA"
"battus","24","1","NA","NA","NA","NA","NA","NA"
"battus","26","67","45.5","16","74.3","330.5","312.5","353"
"battus","27","147","41.3","33.8","55.2","311.4","302","326.5"
"battus","28","436","45.75","38","57.5","323","310","334"
"battus","29","462","58","50.1","66","299.95","294","306"
"battus","30","1171","65","60","70.5","314.5","309.5","321"
"battus","31","646","74","69.5","79","298.5","293","306"
"battus","32","357","88.8","83.8","96","298.2","293","308"
"battus","33","905","88","84","93","298.8","293.8","304"
"battus","34","411","91","85","98","284","278.5","288"
"battus","35","800","102","99","106.828715291148","285","279","288"
"battus","36","933","102","99","106","289","284","292.4"
"battus","37","519","105","101.020032667156","111","277.1","269","283"
"battus","38","561","111","107","116","271","266","276"
"battus","39","667","121","118","126","280","275.7","284.7"
"battus","40","326","125","119","133.25","269.75","258.75","281.75"
"battus","41","219","142.9","131.9","163.8","271.2","266.2","279.2"
"battus","42","101","162","159","181","266","260","272"
"battus","43","58","173.4","146.75","183.4","271.95","247.05","291.45"
"battus","44","18","NA","NA","NA","NA","NA","NA"
"battus","45","1","NA","NA","NA","NA","NA","NA"
"battus","46","1","NA","NA","NA","NA","NA","NA"
"battus","47","1","NA","NA","NA","NA","NA","NA"
