"latitude","species_comparison","z_score","p_value"
"29","battus_astyanax","4.09864289063132","0.0000415579646935964"
"29","battus_archippus","4.64215509367403","0.00000344793888768957"
"29","astyanax_archippus","1.61619705455084","0.106051715420452"
"30","battus_astyanax","3.29936408171687","0.00096904141115067"
"30","battus_archippus","7.02970379576616","0.00000000000206972444224914"
"30","astyanax_archippus","2.26227103101802","0.0236806630909224"
"31","battus_astyanax","3.83320454131551","0.000126484697304627"
"31","battus_archippus","7.80806140716063","0.00000000000000580742912606526"
"31","astyanax_archippus","4.82786228313612","0.00000138006474227182"
"32","battus_astyanax","0.404279611407544","0.686007116620906"
"32","battus_archippus","4.98482999101311","0.000000620163181412019"
"32","astyanax_archippus","4.94043685514429","0.000000779477333752367"
"33","battus_astyanax","4.4536463237233","0.00000844241259205082"
"33","battus_archippus","5.85170145141934","0.00000000486569460885593"
"33","astyanax_archippus","2.13151166466135","0.0330470125053634"
"34","battus_astyanax","3.2345940403734","0.00121815797413297"
"34","battus_archippus","4.33877036404955","0.0000143282140209475"
"34","astyanax_archippus","2.14324579371892","0.0320933669270247"
"35","battus_astyanax","3.97729823171036","0.0000697027228967718"
"35","battus_archippus","4.0647527150473","0.0000480834145650981"
"35","astyanax_archippus","0.883312141037887","0.377067645813621"
"36","battus_astyanax","5.95257176254392","0.00000000263961329594006"
"36","battus_archippus","7.43933042498291","0.000000000000101196911311935"
"36","astyanax_archippus","1.78736615014321","0.0738783288760994"
"37","battus_astyanax","4.71688180746696","0.0000023948671972114"
"37","battus_archippus","4.78786849142604","0.00000168562041843279"
"37","astyanax_archippus","1.01024642185433","0.312377243482967"
"38","battus_astyanax","5.53415077745322","0.000000031273986378312"
"38","battus_archippus","5.22075079983972","0.000000178199197430124"
"38","astyanax_archippus","2.09162723031333","0.0364718746893333"
"39","battus_astyanax","2.87766980317872","0.00400624235543952"
"39","battus_archippus","5.66498597747603","0.000000014703656031364"
"39","astyanax_archippus","3.00356785706778","0.00266834037124808"
"40","battus_astyanax","3.25786786782138","0.00112252660259085"
"40","battus_archippus","4.51640771084752","0.0000062897510489737"
"40","astyanax_archippus","2.3539332316106","0.0185759473741544"
"41","battus_astyanax","0.617917662744742","0.536629615355948"
"41","battus_archippus","1.2257789732909","0.220281861914364"
"41","astyanax_archippus","2.45237515318482","0.0141916616950842"
